,images,labels
20707,b'stingray_s_000273.png',1
20708,b'bowl_s_000957.png',3
20714,b'macoun_s_000623.png',4
20717,b'beer_bottle_s_001347.png',3
20726,b'bottle_s_000276.png',3
20727,b'rainbow_trout_s_001722.png',1
20738,b'cortland_s_000627.png',4
20740,b'goblet_s_001093.png',3
20742,b'mushroom_s_000983.png',4
20743,b'rainbow_trout_s_001669.png',1
20744,b'english_sole_s_000055.png',1
20748,b'bartlett_pear_s_000495.png',4
20751,b'bell_pepper_s_001433.png',4
20755,b'goblet_s_000684.png',3
20756,b'rainbow_trout_s_000216.png',1
20761,b'tin_can_s_001685.png',3
20762,b'tv_s_000040.png',5
20763,b'computer_keyboard_s_001765.png',5
20770,b'alarm_clock_s_000534.png',5
20776,b'mushroom_s_000569.png',4
20778,b'phone_s_002054.png',5
20781,b'carassius_auratus_s_000213.png',1
20784,b'mushroom_s_000804.png',4
20787,b'sweet_pepper_s_001793.png',4
20788,b'poppy_s_001086.png',2
20793,b'bowl_s_001190.png',3
20794,b'mushroom_s_002179.png',4
20797,b'oilcan_s_000565.png',3
20799,b'flounder_s_000527.png',1
20810,b'rushlight_s_000253.png',5
20817,b'mako_shark_s_001793.png',1
20821,b'lamp_s_000386.png',5
20822,b'dessert_plate_s_000316.png',3
20824,b'sunflower_s_000169.png',2
20826,b'dessert_plate_s_000245.png',3
20828,b'desk_phone_s_000746.png',5
20829,b'goblet_s_000883.png',3
20831,b'soda_bottle_s_000008.png',3
20832,b'butterfly_orchid_s_000072.png',2
20839,b'sweet_pepper_s_001053.png',4
20848,b'verpa_s_000732.png',4
20852,b'phone_s_002994.png',5
20854,b'turbot_s_000048.png',1
20855,b'beer_can_s_001399.png',3
20858,b'bell_pepper_s_001072.png',4
20879,b'rainbow_trout_s_001072.png',1
20880,b'beaker_s_000425.png',3
20884,b'dessert_plate_s_000428.png',3
20886,b'sea_trout_s_000672.png',1
20889,b'golden_delicious_s_001761.png',4
20890,b'shark_s_001832.png',1
20897,b'clavier_s_000002.png',5
20899,b'stingray_s_002190.png',1
20901,b'lamp_s_000853.png',5
20905,b'beaker_s_002285.png',3
20913,b'dessert_plate_s_000017.png',3
20915,b'clock_s_001775.png',5
20918,b'telephone_set_s_000265.png',5
20919,b'computer_keyboard_s_000672.png',5
20920,b'dessert_plate_s_000405.png',3
20922,b'tulip_s_000132.png',2
20923,b'sunflower_s_002116.png',2
20924,b'mako_s_001889.png',1
20930,b'butterfly_orchid_s_000237.png',2
20935,b'trout_s_000714.png',1
20941,b'northern_spy_s_000147.png',4
20942,b'sweet_pepper_s_000280.png',4
20943,b'telephone_s_000212.png',5
20944,b'rose_s_001620.png',2
20945,b'sweet_pepper_s_000115.png',4
20946,b'saucer_s_001293.png',3
20947,b'carassius_auratus_s_000758.png',1
20949,b'tangerine_s_000731.png',4
20951,b'common_morel_s_000112.png',4
20957,b'orchid_s_001925.png',2
20963,b'winter_flounder_s_000080.png',1
20972,b'carassius_auratus_s_000303.png',1
20974,b'flatfish_s_001273.png',1
20977,b'mako_shark_s_000459.png',1
20978,b'orchid_s_001118.png',2
20979,b'verpa_s_001010.png',4
20984,b'stingray_s_001818.png',1
20991,b'citrus_aurantium_s_001247.png',4
20995,b'eagle_ray_s_000057.png',1
20996,b'anjou_s_001820.png',4
20997,b'keyboard_s_000434.png',5
21002,b'mako_shark_s_001683.png',1
21028,b'lamp_s_000294.png',5
21031,b'guitarfish_s_000090.png',1
21034,b'flatfish_s_000743.png',1
21040,b'pop_bottle_s_001097.png',3
21041,b'navel_orange_s_001184.png',4
21042,b'sweet_pepper_s_001150.png',4
21044,b'fishplate_s_001109.png',3
21047,b'poppy_s_000551.png',2
21051,b'beer_bottle_s_002094.png',3
21052,b'television_s_001282.png',5
21054,b'bell_pepper_s_001034.png',4
21057,b'navel_orange_s_001505.png',4
21060,b'mushroom_s_000868.png',4
21063,b'rosebush_s_000579.png',2
21064,b'sunflower_s_000431.png',2
21065,b'dessert_plate_s_000252.png',3
21066,b'rainbow_trout_s_002165.png',1
21068,b'poppy_s_002276.png',2
21073,b'sand_dab_s_000014.png',1
21074,b'poppy_s_001015.png',2
21082,b'beer_can_s_002398.png',3
21090,b'mushroom_s_000653.png',4
21091,b'goblet_s_000165.png',3
21094,b'macoun_s_000071.png',4
21095,b'mushroom_s_000805.png',4
21097,b'rosebush_s_000783.png',2
21099,b'red_delicious_s_001322.png',4
21110,b'mushroom_s_002083.png',4
21111,b'fishplate_s_000603.png',3
21115,b'rose_s_001448.png',2
21117,b'dessert_plate_s_000371.png',3
21119,b'mushroom_s_000783.png',4
21120,b'poppy_s_001793.png',2
21134,b'mako_shark_s_000545.png',1
21138,b'tv_s_000291.png',5
21139,b'mako_shark_s_000012.png',1
21143,b'stingray_s_000439.png',1
21145,b'soda_can_s_001409.png',3
21154,b'soda_can_s_000857.png',3
21155,b'goldfish_s_002501.png',1
21159,b'sweet_pepper_s_002322.png',4
21161,b'saucer_s_000938.png',3
21164,b'bowl_s_000184.png',3
21167,b'bowl_s_001693.png',3
21168,b'cichlid_s_000471.png',1
21171,b'clock_s_001778.png',5
21179,b'goblet_s_000842.png',3
21180,b'chalice_s_000403.png',3
21182,b'bell_pepper_s_000334.png',4
21183,b'rainbow_trout_s_002214.png',1
21186,b'mushroom_s_000880.png',4
21189,b'verpa_s_000814.png',4
21195,b'poppy_s_000333.png',2
21200,b'clock_s_000013.png',5
21202,b'computer_keyboard_s_000156.png',5
21206,b'poppy_s_002122.png',2
21207,b'goblet_s_000170.png',3
21210,b'yellow_delicious_s_000660.png',4
21213,b'mako_s_000449.png',1
21215,b'goblet_s_001613.png',3
21218,b'chalice_s_000778.png',3
21219,b'clock_s_001536.png',5
21222,b'shark_s_000070.png',1
21225,b'dessert_plate_s_000344.png',3
21228,b'bosc_s_000312.png',4
21229,b'goblet_s_001622.png',3
21230,b'lamp_s_000580.png',5
21235,b'cup_s_000043.png',3
21236,b'trout_s_002350.png',1
21244,b'poppy_s_001411.png',2
21246,b'plate_iron_s_001812.png',3
21249,b'turbot_s_000205.png',1
21256,b'bell_pepper_s_000550.png',4
21261,b'dessert_plate_s_000199.png',3
21265,b'clavier_s_000818.png',5
21271,b'cichlid_s_002258.png',1
21274,b'beer_can_s_001857.png',3
21275,b'television_s_003060.png',5
21284,b'anjou_s_001048.png',4
21286,b'dasyatis_centroura_s_000018.png',1
21290,b'golden_delicious_s_001846.png',4
21298,b'cichlid_s_002040.png',1
21299,b'pop_bottle_s_000449.png',3
21300,b'flounder_s_001921.png',1
21303,b'soda_can_s_000119.png',3
21308,b'tulip_s_001099.png',2
21323,b'beer_bottle_s_000526.png',3
21324,b'soda_can_s_000092.png',3
21325,b'pop_bottle_s_000830.png',3
21328,b'eating_apple_s_000364.png',4
21329,b'valencia_orange_s_000003.png',4
21331,b'poppy_s_001829.png',2
21333,b'clock_s_002419.png',5
21338,b'bosc_s_000021.png',4
21340,b'rainbow_trout_s_001810.png',1
21343,b'computer_keyboard_s_001671.png',5
21344,b'butterfly_orchid_s_000704.png',2
21359,b'electric_lamp_s_000088.png',5
21362,b'trout_s_000313.png',1
21363,b'butterfly_ray_s_000118.png',1
21365,b'flounder_s_002277.png',1
21368,b'rose_s_001107.png',2
21397,b'computer_keyboard_s_002078.png',5
21398,b'bosc_s_001481.png',4
21399,b'red_delicious_s_000662.png',4
21400,b'poppy_s_000918.png',2
21401,b'dwarf_tulip_s_000109.png',2
21404,b'desk_phone_s_000009.png',5
21409,b'keyboard_s_000005.png',5
21422,b'television_s_001420.png',5
21424,b'discharge_lamp_s_000816.png',5
21429,b'tulipa_clusiana_s_000046.png',2
21436,b'sole_s_000144.png',1
21437,b'mushroom_s_002394.png',4
21441,b'bosc_s_000966.png',4
21447,b'pop_bottle_s_000765.png',3
21454,b'television_s_000686.png',5
21455,b'rose_s_001041.png',2
21459,b'lamp_s_001191.png',5
21461,b'soda_can_s_001116.png',3
21462,b'pear_s_001787.png',4
21467,b'cichlid_fish_s_000743.png',1
21472,b'television_system_s_000610.png',5
21474,b'rosebush_s_001687.png',2
21481,b'clock_s_002110.png',5
21485,b'bell_pepper_s_001269.png',4
21487,b'bartlett_pear_s_000278.png',4
21488,b'goblet_s_000169.png',3
21489,b'mountain_rose_s_000235.png',2
21493,b'goblet_s_000003.png',3
21496,b'bell_pepper_s_001126.png',4
21497,b'sea_trout_s_000487.png',1
21499,b'mushroom_s_000447.png',4
21500,b'sweet_pepper_s_000104.png',4
21503,b'mako_shark_s_001109.png',1
21506,b'computer_keyboard_s_000574.png',5
21510,b'clock_s_000392.png',5
21511,b'trout_s_001904.png',1
21512,b'sunflower_s_000971.png',2
21519,b'phone_s_001110.png',5
21531,b'mushroom_s_001777.png',4
21542,b'plate_iron_s_001539.png',3
21543,b'rainbow_trout_s_001721.png',1
21544,b'tulip_s_000329.png',2
21546,b'sweet_pepper_s_001959.png',4
21547,b'poppy_s_001002.png',2
21548,b'television_system_s_001315.png',5
21551,b'beaker_s_000692.png',3
21556,b'bowl_s_000726.png',3
21557,b'alarm_clock_s_001117.png',5
21559,b'beaker_s_001660.png',3
21560,b'pop_bottle_s_001108.png',3
21566,b'beer_can_s_002764.png',3
21569,b'electric_lamp_s_000193.png',5
21571,b'poppy_s_001453.png',2
21574,b'winter_flounder_s_000460.png',1
21575,b'keyboard_s_000756.png',5
21578,b'alarm_clock_s_000597.png',5
21582,b'stingray_s_000581.png',1
21588,b'beer_can_s_000046.png',3
21590,b'sunflower_s_000669.png',2
21595,b'milk_can_s_000324.png',3
21598,b'telephone_s_001772.png',5
21599,b'sweet_pepper_s_002134.png',4
21600,b'phone_s_002552.png',5
21609,b'beer_can_s_001848.png',3
21614,b'cup_s_002047.png',3
21616,b'stingray_s_000225.png',1
21618,b'chalice_s_000835.png',3
21619,b'cichlid_fish_s_000441.png',1
21622,b'television_s_000547.png',5
21623,b'sweet_pepper_s_000324.png',4
21625,b'rainbow_trout_s_000273.png',1
21630,b'dessert_plate_s_000367.png',3
21640,b'tulip_s_000011.png',2
21646,b'bell_pepper_s_000723.png',4
21653,b'television_s_002470.png',5
21655,b'mushroom_s_000223.png',4
21661,b'lamp_s_001313.png',5
21663,b'eagle_ray_s_000328.png',1
21665,b'tangerine_s_000730.png',4
21667,b'macoun_s_001027.png',4
21668,b'poppy_s_002148.png',2
21672,b'bosc_s_001588.png',4
21674,b'bell_pepper_s_000844.png',4
21679,b'desk_phone_s_000007.png',5
21683,b'bosc_s_001909.png',4
21685,b'mushroom_s_000896.png',4
21691,b'desk_phone_s_000306.png',5
21695,b'sunflower_s_001024.png',2
21699,b'bowl_s_001678.png',3
21705,b'goblet_s_001344.png',3
21706,b'bell_pepper_s_001628.png',4
21707,b'sweet_pepper_s_000008.png',4
21709,b'butterfly_orchid_s_001800.png',2
21711,b'chalice_s_001498.png',3
21712,b'clock_s_001845.png',5
21718,b'oilcan_s_000461.png',3
21719,b'rainbow_trout_s_000521.png',1
21720,b'bowl_s_002746.png',3
21722,b'orchid_s_001846.png',2
21725,b'macoun_s_000965.png',4
21728,b'goblet_s_000664.png',3
21734,b'television_s_001457.png',5
21738,b'television_s_000553.png',5
21739,b'bitter_orange_s_000123.png',4
21743,b'halibut_s_000662.png',1
21747,b'rainbow_trout_s_000058.png',1
21749,b'alarm_clock_s_000122.png',5
21752,b'golden_delicious_s_000897.png',4
21753,b'bell_pepper_s_001110.png',4
21754,b'trout_s_002134.png',1
21755,b'cichlid_s_001441.png',1
21762,b'desk_phone_s_000782.png',5
21766,b'lamp_s_001117.png',5
21772,b'rose_s_001210.png',2
21773,b'orchid_s_000245.png',2
21774,b'computer_keyboard_s_002226.png',5
21776,b'telephone_set_s_000358.png',5
21779,b'bell_pepper_s_001292.png',4
21781,b'red_delicious_s_000015.png',4
21783,b'mako_s_001645.png',1
21785,b'goblet_s_001422.png',3
21788,b'halibut_s_000528.png',1
21790,b'clock_s_001521.png',5
21805,b'beaker_s_000132.png',3
21806,b'pear_s_001002.png',4
21811,b'bowl_s_001302.png',3
21812,b'orchid_s_000959.png',2
21813,b'electric_ray_s_001239.png',1
21814,b'telephone_set_s_000426.png',5
21816,b'desk_phone_s_000314.png',5
21820,b'tv_s_000973.png',5
21822,b'pear_s_000048.png',4
21823,b'red_delicious_s_000240.png',4
21830,b'sea_trout_s_000151.png',1
21840,b'decanter_s_000293.png',3
21845,b'bell_pepper_s_001432.png',4
21848,b'goldfish_s_002467.png',1
21851,b'navel_orange_s_000878.png',4
21854,b'halibut_s_000216.png',1
21855,b'mushroom_s_000774.png',4
21859,b'flatfish_s_001472.png',1
21870,b'red_delicious_s_000437.png',4
21884,b'turbot_s_000764.png',1
21889,b'rainbow_trout_s_001808.png',1
21891,b'mushroom_s_000458.png',4
21900,b'soda_can_s_000850.png',3
21903,b'stingray_s_002409.png',1
21906,b'dessert_plate_s_000164.png',3
21910,b'mackerel_shark_s_000326.png',1
21913,b'clock_s_000195.png',5
21916,b'fishplate_s_000248.png',3
21917,b'stingray_s_000221.png',1
21920,b'bartlett_s_000366.png',4
21936,b'bottle_s_000432.png',3
21943,b'shark_s_000366.png',1
21953,b'tin_can_s_001887.png',3
21955,b'bosc_s_001430.png',4
21971,b'oilcan_s_000467.png',3
21973,b'sunflower_s_000539.png',2
21977,b'bottle_s_000040.png',3
21980,b'flatfish_s_000013.png',1
21983,b'electric_lamp_s_000395.png',5
21988,b'poppy_s_000282.png',2
21991,b'sunflower_s_001382.png',2
21992,b'mushroom_s_000468.png',4
21994,b'bowl_s_001862.png',3
21997,b'computer_keyboard_s_001189.png',5
22008,b'cup_morel_s_000026.png',4
22010,b'sweet_pepper_s_000232.png',4
22012,b'soda_can_s_000360.png',3
22014,b'phone_s_002548.png',5
22015,b'tulipa_clusiana_s_000298.png',2
22018,b'poppy_s_001139.png',2
22019,b'saucer_s_000608.png',3
22021,b'butterfly_orchid_s_001036.png',2
22024,b'television_s_001736.png',5
22027,b'telephone_set_s_000056.png',5
22030,b'bell_pepper_s_001256.png',4
22032,b'rosebush_s_000868.png',2
22033,b'phone_s_002892.png',5
22036,b'clock_s_001691.png',5
22037,b'orange_s_002675.png',4
22041,b'verpa_s_000971.png',4
22043,b'cichlid_fish_s_001211.png',1
22045,b'mushroom_s_002411.png',4
22050,b'dessert_plate_s_000427.png',3
22051,b'diaphragm_s_000009.png',3
22057,b'lamp_s_001998.png',5
22058,b'mushroom_s_001598.png',4
22059,b'sunflower_s_002246.png',2
22065,b'television_s_000057.png',5
22069,b'bowl_s_000105.png',3
22070,b'rose_s_001297.png',2
22071,b'citrus_aurantium_s_000364.png',4
22075,b'rose_s_000359.png',2
22080,b'goblet_s_000876.png',3
22084,b'milk_can_s_000155.png',3
22085,b'electric_ray_s_000503.png',1
22093,b'navel_orange_s_001329.png',4
22096,b'bell_pepper_s_000056.png',4
22098,b'flounder_s_001872.png',1
22105,b'coffee_can_s_002355.png',3
22107,b'fish_bowl_s_000071.png',3
22110,b'sunflower_s_000831.png',2
22120,b'lamp_s_000780.png',5
22124,b'porbeagle_s_000344.png',1
22126,b'phone_s_000314.png',5
22128,b'mushroom_s_000440.png',4
22135,b'sweet_orange_s_000356.png',4
22136,b'bowl_s_000960.png',3
22137,b'sweet_pepper_s_001284.png',4
22140,b'color_television_s_000035.png',5
22141,b'shark_s_001483.png',1
22142,b'television_s_000015.png',5
22143,b'carassius_auratus_s_000233.png',1
22148,b'butterfly_orchid_s_000022.png',2
22151,b'dessert_plate_s_000086.png',3
22156,b'alarm_clock_s_000148.png',5
22162,b'milk_can_s_001430.png',3
22165,b'red_delicious_s_001369.png',4
22167,b'poppy_s_002182.png',2
22170,b'telephone_set_s_000045.png',5
22172,b'yellowtail_flounder_s_000047.png',1
22175,b'computer_keyboard_s_000304.png',5
22177,b'dessert_plate_s_000145.png',3
22179,b'goblet_s_000334.png',3
22190,b'sunflower_s_002260.png',2
22192,b'sunflower_s_001661.png',2
22196,b'soda_bottle_s_000013.png',3
22198,b'poppy_s_001028.png',2
22200,b'computer_keyboard_s_001748.png',5
22203,b'bell_pepper_s_000370.png',4
22204,b'sunflower_s_002300.png',2
22205,b'cichlid_s_000023.png',1
22206,b'shark_s_001272.png',1
22213,b'sea_trout_s_000220.png',1
22216,b'porbeagle_s_000072.png',1
22217,b'orchid_s_001221.png',2
22218,b'stingray_s_001625.png',1
22219,b'bartlett_pear_s_000046.png',4
22222,b'clock_s_001694.png',5
22227,b'computer_keyboard_s_000889.png',5
22229,b'telephone_set_s_001515.png',5
22232,b'telephone_set_s_000241.png',5
22238,b'orchid_s_001075.png',2
22239,b'eagle_ray_s_000040.png',1
22240,b'phone_s_000439.png',5
22242,b'turbot_s_000836.png',1
22248,b'soda_can_s_000321.png',3
22252,b'desk_phone_s_000318.png',5
22254,b'sunflower_s_000536.png',2
22261,b'mako_s_000548.png',1
22263,b'orchid_s_001600.png',2
22268,b'plate_iron_s_000687.png',3
22269,b'fashion_plate_s_000233.png',3
22277,b'shark_s_001006.png',1
22284,b'lamp_s_002127.png',5
22287,b'telephone_set_s_000728.png',5
22288,b'phone_s_001195.png',5
22293,b'electric_lamp_s_000164.png',5
22297,b'soda_can_s_000497.png',3
22317,b'telephone_set_s_000044.png',5
22318,b'mushroom_s_002274.png',4
22321,b'stingray_s_000026.png',1
22324,b'mcintosh_s_000964.png',4
22325,b'bowl_s_002332.png',3
22327,b'telephone_set_s_000756.png',5
22330,b'butterfly_orchid_s_000219.png',2
22334,b'stovepipe_iron_s_000019.png',3
22335,b'stingray_s_002491.png',1
22338,b'coffee_can_s_001603.png',3
22348,b'seville_orange_s_000051.png',4
22349,b'butterfly_orchid_s_001362.png',2
22351,b'lamp_s_001230.png',5
22359,b'discharge_lamp_s_000310.png',5
22360,b'pear_s_002173.png',4
22364,b'plate_s_001287.png',3
22365,b'desk_phone_s_000035.png',5
22367,b'alarm_clock_s_000028.png',5
22368,b'cichlid_s_002002.png',1
22370,b'bowl_s_000692.png',3
22371,b'rose_s_000178.png',2
22372,b'soda_can_s_001970.png',3
22380,b'beer_can_s_002247.png',3
22382,b'rosebush_s_000179.png',2
22387,b'fishbowl_s_002193.png',3
22391,b'keyboard_s_001559.png',5
22400,b'bowl_s_002568.png',3
22404,b'valencia_orange_s_000805.png',4
22408,b'electric_lamp_s_000154.png',5
22412,b'orchid_s_000862.png',2
22419,b'rush_candle_s_000003.png',5
22423,b'beer_bottle_s_001654.png',3
22428,b'goldfish_s_001330.png',1
22429,b'pear_s_000473.png',4
22432,b'citrus_aurantium_s_000413.png',4
22434,b'stingray_s_001623.png',1
22437,b'bowl_s_000594.png',3
22441,b'beer_can_s_002301.png',3
22451,b'oilcan_s_000657.png',3
22457,b'sunflower_s_001706.png',2
22462,b'bottle_s_001482.png',3
22464,b'soda_can_s_001103.png',3
22466,b'shark_s_000882.png',1
22469,b'poppy_s_000587.png',2
22472,b'anjou_s_000245.png',4
22474,b'bowl_s_001409.png',3
22481,b'plate_iron_s_000389.png',3
22484,b'television_s_002758.png',5
22485,b'orchid_s_001194.png',2
22491,b'red_delicious_s_000445.png',4
22494,b'rainbow_trout_s_000918.png',1
22496,b'orchid_s_001852.png',2
22497,b'lamp_s_002304.png',5
22508,b'lamp_s_000120.png',5
22510,b'bosc_s_001648.png',4
22513,b'whiskey_bottle_s_000522.png',3
22519,b'beer_can_s_000708.png',3
22524,b'goldfish_s_002728.png',1
22529,b'trout_s_002754.png',1
22531,b'lamp_s_001892.png',5
22533,b'beaker_s_000889.png',3
22534,b'trout_s_000202.png',1
22540,b'rainbow_trout_s_000458.png',1
22542,b'sweet_pepper_s_000049.png',4
22545,b'red_delicious_s_001620.png',4
22547,b'desk_phone_s_000374.png',5
22549,b'soda_can_s_000376.png',3
22554,b'bell_pepper_s_000593.png',4
22556,b'computer_keyboard_s_002257.png',5
22560,b'sea_trout_s_000090.png',1
22566,b'alarm_clock_s_000728.png',5
22573,b'orchid_s_000948.png',2
22576,b'butterfly_orchid_s_001531.png',2
22578,b'soda_can_s_001803.png',3
22579,b'electric_lamp_s_000582.png',5
22583,b'bell_pepper_s_000908.png',4
22584,b'stingray_s_000175.png',1
22585,b'lamp_s_002202.png',5
22586,b'bowl_s_000725.png',3
22588,b'orchid_s_001117.png',2
22592,b'mushroom_s_000462.png',4
22594,b'telephone_s_001453.png',5
22599,b'computer_keyboard_s_001469.png',5
22600,b'halibut_s_000442.png',1
22601,b'tv_s_002270.png',5
22603,b'navel_orange_s_000219.png',4
22604,b'lamp_s_000208.png',5
22605,b'alarm_clock_s_000440.png',5
22607,b'mackerel_shark_s_000891.png',1
22611,b'bowl_s_001765.png',3
22613,b'shark_s_001252.png',1
22616,b'cichlid_fish_s_000350.png',1
22624,b'flatfish_s_001990.png',1
22628,b'poppy_s_000529.png',2
22630,b'lady_tulip_s_000495.png',2
22645,b'tulipa_clusiana_s_000339.png',2
22648,b'keyboard_s_000351.png',5
22649,b'sea_trout_s_000048.png',1
22651,b'plate_s_000099.png',3
22654,b'clavier_s_000149.png',5
22656,b'orchid_s_000609.png',2
22657,b'carassius_auratus_s_000150.png',1
22663,b'keyboard_s_001609.png',5
22671,b'shark_s_001845.png',1
22679,b'shark_s_001000.png',1
22681,b'sunflower_s_002187.png',2
22685,b'computer_keyboard_s_001457.png',5
22686,b'poppy_s_001753.png',2
22689,b'telephone_s_001281.png',5
22697,b'bowl_s_000718.png',3
22714,b'electric_ray_s_001267.png',1
22717,b'sunflower_s_000428.png',2
22718,b'telephone_s_001557.png',5
22719,b'bell_pepper_s_000597.png',4
22721,b'desk_phone_s_000137.png',5
22734,b'shark_s_000678.png',1
22737,b'keyboard_s_001636.png',5
22753,b'computer_keyboard_s_000043.png',5
22755,b'mushroom_s_000690.png',4
22761,b'flatfish_s_000139.png',1
22762,b'poppy_s_001599.png',2
22763,b'television_s_002829.png',5
22765,b'fishbowl_s_002346.png',3
22768,b'pearmain_s_000076.png',4
22770,b'pear_s_001043.png',4
22774,b'alarm_clock_s_000789.png',5
22775,b'goldfish_s_002324.png',1
22776,b'computer_keyboard_s_002133.png',5
22777,b'navel_orange_s_000152.png',4
22779,b'chalice_s_001879.png',3
22780,b'lamp_s_000317.png',5
22796,b'saucer_s_001291.png',3
22802,b'mushroom_s_000979.png',4
22813,b'poppy_s_002083.png',2
22817,b'eagle_ray_s_000048.png',1
22822,b'dessert_plate_s_000330.png',3
22825,b'soda_can_s_000442.png',3
22827,b'mountain_rose_s_001109.png',2
22832,b'bowl_s_002552.png',3
22835,b'sunflower_s_000138.png',2
22836,b'plate_s_000481.png',3
22848,b'poppy_s_002713.png',2
22853,b'mushroom_s_000228.png',4
22859,b'cichlid_s_000586.png',1
22867,b'lamp_s_000790.png',5
22869,b'tulip_s_001940.png',2
22870,b'cup_s_000433.png',3
22871,b'soda_bottle_s_000777.png',3
22878,b'poppy_s_002316.png',2
22881,b'rainbow_trout_s_001168.png',1
22886,b'dessert_plate_s_000178.png',3
22888,b'lamp_s_000246.png',5
22890,b'sweet_pepper_s_000047.png',4
22892,b'stingray_s_002259.png',1
22903,b'citrus_aurantium_s_000236.png',4
22906,b'sweet_pepper_s_001253.png',4
22908,b'mako_shark_s_000020.png',1
22909,b'anjou_s_000659.png',4
22911,b'beer_bottle_s_002038.png',3
22913,b'bell_pepper_s_001127.png',4
22918,b'bell_pepper_s_001412.png',4
22922,b'orchid_s_001596.png',2
22924,b'telephone_s_001707.png',5
22925,b'eagle_ray_s_000287.png',1
22926,b'television_s_001757.png',5
22930,b'phial_s_000196.png',3
22934,b'bowl_s_000353.png',3
22935,b'shark_s_001809.png',1
22937,b'poppy_s_002079.png',2
22941,b'mushroom_s_001173.png',4
22949,b'phone_s_002411.png',5
22959,b'discharge_lamp_s_000719.png',5
22970,b'sunflower_s_000120.png',2
22974,b'bosc_s_001286.png',4
22975,b'lamp_s_002277.png',5
22982,b'telephone_s_001728.png',5
22986,b'butterfly_orchid_s_000359.png',2
22987,b'discharge_lamp_s_000177.png',5
22993,b'telephone_set_s_000008.png',5
22996,b'rainbow_trout_s_001466.png',1
23011,b'clavier_s_000956.png',5
23015,b'saucer_s_001176.png',3
23019,b'beer_can_s_001196.png',3
23034,b'phone_s_002273.png',5
23036,b'cichlid_s_000777.png',1
23047,b'bartlett_s_001598.png',4
23053,b'pearmain_s_000320.png',4
23055,b'beer_bottle_s_000009.png',3
23056,b'oilcan_s_000468.png',3
23057,b'poppy_s_000840.png',2
23065,b'beer_can_s_000058.png',3
23067,b'soda_can_s_000279.png',3
23070,b'stingray_s_000145.png',1
23071,b'sunflower_s_001449.png',2
23082,b'bosc_s_001884.png',4
23085,b'poppy_s_000794.png',2
23088,b'plaice_s_000005.png',1
23096,b'lady_tulip_s_000201.png',2
23099,b'rose_s_002069.png',2
23105,b'stingray_s_002396.png',1
23107,b'mushroom_s_002271.png',4
23108,b'telephone_s_001559.png',5
23110,b'bell_pepper_s_001607.png',4
23111,b'plaice_s_000363.png',1
23112,b'bowl_s_000104.png',3
23117,b'winter_flounder_s_000147.png',1
23122,b'tin_can_s_001722.png',3
23130,b'sunflower_s_001716.png',2
23131,b'shark_s_001588.png',1
23133,b'bowl_s_002023.png',3
23134,b'plate_iron_s_000554.png',3
23136,b'rainbow_trout_s_000809.png',1
23137,b'yellow_delicious_s_000569.png',4
23141,b'shark_s_001004.png',1
23147,b'chalice_s_001579.png',3
23150,b'mako_s_001549.png',1
23157,b'sweet_pepper_s_000014.png',4
23177,b'telephone_set_s_000633.png',5
23182,b'winter_flounder_s_000537.png',1
23193,b'plaice_s_000778.png',1
23194,b'whiskey_bottle_s_000282.png',3
23196,b'navel_orange_s_000379.png',4
23203,b'tea_caddy_s_000260.png',3
23204,b'discharge_lamp_s_000288.png',5
23208,b'golden_delicious_s_001197.png',4
23215,b'computer_keyboard_s_001051.png',5
23223,b'eagle_ray_s_000253.png',1
23238,b'rose_s_001583.png',2
23240,b'bartlett_s_000307.png',4
23259,b'stingray_s_001995.png',1
23260,b'rosebush_s_001383.png',2
23264,b'pear_s_002010.png',4
23269,b'tulip_s_002137.png',2
23275,b'clock_s_001543.png',5
23276,b'butterfly_orchid_s_001679.png',2
23278,b'mcintosh_s_000006.png',4
23279,b'ampoule_s_000192.png',3
23280,b'telephone_s_000252.png',5
23284,b'discharge_lamp_s_000383.png',5
23285,b'cichlid_s_000649.png',1
23295,b'bowl_s_001667.png',3
23301,b'soda_can_s_000558.png',3
23303,b'pill_bottle_s_000040.png',3
23306,b'dessert_plate_s_000194.png',3
23310,b'dessert_plate_s_000318.png',3
23312,b'soda_can_s_000011.png',3
23317,b'bowl_s_000215.png',3
23324,b'bowl_s_002049.png',3
23325,b'rose_s_001408.png',2
23327,b'electric_lamp_s_000219.png',5
23329,b'rainbow_trout_s_000590.png',1
23339,b'rose_s_002037.png',2
23343,b'bosc_s_000322.png',4
23348,b'temple_orange_s_000325.png',4
23350,b'sweet_pepper_s_001028.png',4
23357,b'bottle_s_000999.png',3
23359,b'tulip_s_000767.png',2
23370,b'keyboard_s_000186.png',5
23372,b'lamp_s_000261.png',5
23374,b'clavier_s_000300.png',5
23375,b'electric_lamp_s_000557.png',5
23378,b'shark_s_002143.png',1
23380,b'beer_can_s_000038.png',3
23390,b'plate_iron_s_000905.png',3
23391,b'shark_s_001218.png',1
23392,b'discharge_lamp_s_000947.png',5
23394,b'phone_s_002088.png',5
23399,b'golden_delicious_s_000805.png',4
23401,b'mushroom_s_001374.png',4
23402,b'sunflower_s_000141.png',2
23403,b'soda_bottle_s_001025.png',3
23406,b'sweet_pepper_s_000170.png',4
23410,b'lamp_s_000240.png',5
23414,b'clock_s_001130.png',5
23418,b'telephone_s_000512.png',5
23420,b'cichlid_s_001289.png',1
